"","Name","Address","Contact","Rank","Overall.Score","School Type","Year Founded","Religious Affiliation","Academic Calendar","Setting","2018 Endowment"
"1","Princeton University","Princeton, NJ 08544 "," (609) 258-3000",1,100,"Private, Coed","1746","None","Semester","Suburban","$25.4 billion +"
"2","Harvard University","Cambridge, MA 02138 "," (617) 495-1000",2,96,"Private, Coed","1636","None","Semester","Urban","$39.2 billion +"
"3","Columbia University","New York, NY 10027 "," (212) 854-1754",3,94,"Private, Coed","1754","None","Semester","Urban","$10.9 billion"
"4","Massachusetts Institute of Technology","Cambridge, MA 02139 "," (617) 253-1000",3,94,"Private, Coed","1861","None","4-1-4","Urban","$16.4 billion +"
"5","Yale University","New Haven, CT 06520 "," (203) 432-4771",3,94,"Private, Coed","1701","None","Semester","City","$29.4 billion +"
"6","Stanford University","Stanford, CA 94305 "," (650) 723-2300",6,93,"Private, Coed","1885","None","Quarter","Suburban","$26.5 billion"
"7","University of Chicago","Chicago, IL 60637 "," (773) 702-1234",6,93,"Private, Coed","1890","None","Quarter","Urban","$7.0 billion +"
"8","University of Pennsylvania","Philadelphia, PA 19104 "," (215) 898-5000",6,93,"Private, Coed","1740","None","Semester","Urban","$13.8 billion"
"9","Northwestern University","Evanston, IL 60208 "," (847) 491-3741",9,92,"Private, Coed","1851","None","Quarter","Suburban","$8.4 billion"
"10","Duke University","Durham, NC 27708 "," (919) 684-8111",10,91,"Private, Coed","1838","None","Semester","Suburban","$8.5 billion +"
"11","Johns Hopkins University","Baltimore, MD 21218 "," (941) 516-8000",10,91,"Private, Coed","1876","None","Semester","Urban","$4.2 billion"
"12","California Institute of Technology","Pasadena, CA 91125 "," (626) 395-6811",12,89,"Private, Coed","1891","None","Quarter","Suburban","$2.9 billion +"
"13","Dartmouth College","Hanover, NH 03755 "," (603) 646-1110",12,89,"Private, Coed","1769","None","Quarter","Rural","$5.5 billion"
"14","Brown University","Providence, RI 02912 "," (401) 863-1000",14,86,"Private, Coed","1764","None","Semester","City","$3.6 billion +"
"15","University of Notre Dame","Notre Dame, IN 46556 "," (574) 631-5000",15,84,"Private, Coed","1842","Roman Catholic","Semester","City","$11.1 billion"
"16","Vanderbilt University","Nashville, TN 37240 "," (615) 322-7311",15,84,"Private, Coed","1873","None","Semester","Urban","$4.1 billion +"
"17","Cornell University","Ithaca, NY 14853 "," (607) 255-2000",17,83,"Private, Coed","1865","None","Semester","Rural","$6.9 billion"
"18","Rice University","Houston, TX 77251 "," (713) 348-0000",17,83,"Private, Coed","1912","None","Semester","Urban","$6.2 billion +"
"19","Washington University in St. Louis","St. Louis, MO 63130 "," (314) 935-5000",19,81,"Private, Coed","1853","None","Semester","Suburban","$7.7 billion"
"20","University of California--Los Angeles","Los Angeles, CA 90095 "," (310) 825-4321",20,80,"Private, Women's college","1889","Presbyterian Church (USA)","Semester","Urban","$229.4 million +"
"21","Emory University","Atlanta, GA 30322 "," (404) 727-6123",21,79,"Private, Coed","1836","United Methodist","Semester","City","$8.0 billion"
"22","University of California--Berkeley","Berkeley, CA 94720 "," (510) 642-6000",22,78,"Public, Coed","1868","None","Semester","City","$4.6 billion +"
"23","University of Southern California","Los Angeles, CA 90089 "," (213) 740-2311",22,78,"Private, Coed","1880","None","Semester","Urban","$5.5 billion +"
"24","Georgetown University","Washington, DC 20057 "," (202) 687-0100",24,77,"Private, Coed","1789","Roman Catholic","Semester","Urban","$1.8 billion"
"25","Carnegie Mellon University","Pittsburgh, PA 15213 "," (412) 268-2000",25,75,"Private, Coed","1900","None","Semester","Urban","$1.9 billion"
"26","University of Michigan--Ann Arbor","Ann Arbor, MI 48109 "," (734) 764-1817",25,75,"Public, Coed","1817","None","Trimester","City","$11.7 billion +"
"27","Wake Forest University","Winston-Salem, NC 27109 "," (336) 758-5000",27,74,"Private, Coed","1834","None","Semester","Suburban","$1.3 billion +"
"28","University of Virginia","Charlottesville, VA 22904 "," (434) 924-0311",28,73,"Public, Coed","1819","None","Semester","Suburban","$6.9 billion"
"29","Georgia Institute of Technology","Atlanta, GA 30332 "," (404) 894-2000",29,72,"Public, Coed","1885","None","Semester","Urban","$2.1 billion"
"30","New York University","New York, NY 10012 "," (212) 998-1212",29,72,"Private, Coed","1831","None","Semester","Urban","$4.2 billion +"
"31","Tufts University","Medford, MA 02155 "," (617) 627-5195",29,72,"Private, Coed","1852","None","Semester","Suburban","$1.8 billion +"
"32","University of North Carolina--Chapel Hill","Chapel Hill, NC 27599 "," (919) 962-2211",29,72,"Public, Coed","1789","None","Semester","Suburban","$3.3 billion +"
"33","University of Rochester","Rochester, NY 14627 "," (585) 275-2121",29,72,"Private, Coed","1746","None","Semester","Suburban","$25.4 billion +"
"34","University of California--Santa Barbara","Santa Barbara, CA 93106 "," (805) 893-8000",34,71,"Public, Coed","1909","None","Quarter","Suburban","$357.9 million"
"35","University of Florida","Gainesville, FL 32611 "," (352) 392-3261",34,71,"Public, Coed","1853","None","Semester","Suburban","$1.7 billion +"
"36","University of California--Irvine","Irvine, CA 92697 "," (949) 824-5011",36,70,"Public, Coed","1965","None","Quarter","Suburban","$940.0 million"
"37","Boston College","Chestnut Hill, MA 02467 "," (617) 552-3100",37,69,"Private, Coed","1863","Roman Catholic","Semester","Suburban","$2.5 billion +"
"38","University of California--San Diego","La Jolla, CA 92093 "," (858) 534-2230",37,69,"Public, Coed","1960","None","Quarter","Urban","$1.6 billion"
